Title,Artist,Album,Duration,"Media Type"
"That`s How It Is","Grace Slick & The Great Society",Unknown,00:02:39,track
"Do It The Hard Way","Grace Slick",Dreams,00:04:59,track
"Face To The Wind","Grace Slick",Dreams,00:05:31,track
"Full Moon Man","Grace Slick",Dreams,00:05:07,track
"Garden Of Man","Grace Slick",Dreams,00:06:33,track
"Let It Go","Grace Slick",Dreams,00:05:42,track
"Call It Right Call It Wrong","Grace Slick",Software,00:03:56,track
"They Call It Stormy Monday","John Mayall","Looking Back [1990, 820 331-2]",00:04:38,track
"Saturday Sun","Nick Drake","1969 - Five Leaves Left",00:04:05,track
Sunday,"Nick Drake","1970 - Bryter Layter",00:03:43,track
"Nothing Compares 2 U",Prince,"Best Ballads",00:05:00,track
"The Most Beautiful Girl in the World",Prince,"Best Ballads",00:04:37,track
Rise,"Public Image Limited","The Greatest Hits, So Far",00:06:18,track
"This Is Not A Love Song","Public Image Limited","This Is Not A Love Song",00:04:30,track
"Good Morning Anya","Jaco Pastorius","Punk Jazz, The Jaco Pastorius Anthology (Disc 2)",00:06:10,track
Sunday,"Jaco Pastorius","Punk Jazz The Jaco Pastorius Anthology",00:04:19,track
"Bang and Blame",R.E.M.,Monster,00:05:30,track
"Dream (All I Have To Do)",R.E.M.,"Lifes Rich Pageant (1993 IRS Years)",00:02:38,track
"Everybody Hurts",R.E.M.,"Automatic For The People",00:04:59,track
"I'll Take The Rain",R.E.M.,Reveal,00:05:51,track
"Losing My Religion",R.E.M.,"Out Of Time",00:04:29,track
"Make It All Okay",R.E.M.,"Around The Sun",00:03:44,track
"Man on the Moon",R.E.M.,"Automatic for the People",00:05:14,track
"Perfect Circle",R.E.M.,"Murmur (2008 Deluxe Edition) CD1",00:03:31,track
"Shiny Happy People",R.E.M.,"Out Of Time",00:03:46,track
"The One I Love",R.E.M.,"Document (1993 IRS Years)",00:03:17,track
"What's the Frequency, Kenneth?",R.E.M.,Monster,00:04:00,track
Zither,R.E.M.,"New Adventures in Hi-Fi (2005 Remaster)",00:02:34,track
"Black Friday","Steely Dan",Unknown,00:03:37,track
"Charlie Don't Surf","The Clash",Sandinista!,00:04:54,track
"Gates of the West","The Clash","Sound System extras",00:03:25,track
"I Fought the Law","The Clash","Sound System extras",00:02:43,track
"London Calling","The Clash","London Calling",00:03:20,track
"Midnight to Stevens (Outtake)","The Clash","Sound System extras 2",00:04:36,track
"Rock the Casbah","The Clash","Combat Rock",00:03:42,track
"Should I Stay or Should I Go","The Clash","Combat Rock",00:03:09,track
"Every Night's A Saturday Night With","The Drifters",Unknown,00:03:20,track
"I Only Want to Be With You","The Tourists","Reality Effect",00:02:21,track
"Something in the Air Tonight","The Tourists","Reality Effect",00:04:04,track
"Brown Eyed Girl","Van Morrison","Still On Top: The Greatest Hits [Disc 1]",00:03:05,track
"Have I Told You Lately","Van Morrison",Unknown,00:04:19,track
"It's All Over Now Baby Blue","Van Morrison",Unknown,00:03:51,track
Consequently,"Weather Report","This Is This",00:04:56,track
"Face On the Barroom Floor","Weather Report","Sportin' Life",00:03:59,track
Harlequin,"Weather Report","Heavy Weather",00:04:01,track
"In A Silent Way","Weather Report",8:30,00:02:50,track
"Second Sunday In August","Weather Report","I Sing The Body Electric",00:04:13,track
Tears,"Weather Report","Weather Report",00:03:27,track
"The Orphan","Weather Report",8:30,00:03:18,track
"Music To Watch Girls Go By","Roger & The Wraybands","Chicago Surf Rally",00:02:27,track
"Grand Big Kiss",RvB,2020,00:03:04,track
"Sweet Nothin's","Brenda Lee","Billboard Top Rock'n'Roll Hits 1960",00:02:25,track
"Peggy Sue","Buddy Holly & The Picks","The Very Best Of Rock'N'Roll C",00:02:31,track
"Every Day","Buddy Holly","American Rock 'N' Roll Anthems - CD1",00:02:07,track
Heartbeat,"Buddy Holly","60 Rock N Roll Jukebox-CD 1",00:02:09,track
"Maybe Baby","Buddy Holly","All-Time Greatest Hits: Disc Two",00:02:04,track
"Peggy Sue Got Married","Buddy Holly","100 Hits Legends Of Rock'n'Roll - Disc 2",00:02:04,track
"Think It Over","Buddy Holly","All-Time Greatest Hits: Disc One",00:01:48,track
"Let's Twist Again","Chubby Checker","Greatest Hits of the 50's & 60's - Vol.2",00:02:24,track
"The Twist","Chubby Checker","Billboard Top Rock'n'Roll Hits 1960",00:02:36,track
"You Never Can Tell","Chuck Berry",Unknown,00:02:43,track
Maybelline,"Chuck Berry","The Very Best Of Rock'N'Roll C",00:02:36,track
"Rock & Roll Music","Chuck Berry","100 Hits Legends Of Rock'n'Roll - Disc 1",00:02:32,track
"Rock Over Beethoven","Chuck Berry","American Rock 'N' Roll Anthems - CD1",00:02:24,track
"Hats Off To Larry","Del Shannon","Greatest Hits of the 50's & 60's - Vol.4",00:02:07,track
"I Go To Pieces","Del Shannon","Rock'N'Roll  - CD 02",00:02:28,track
"Little Town Flirt","Del Shannon","Rock 'n' Roll (disc 3)",00:02:50,track
"Runaround Sue","Del Shannon","25 Rock'N'Roll Hits - CD 01",00:02:39,track
"A Teenager In Love","Dion And The Belmonts",Unknown,00:02:38,track
"Runaround Sue","Dion And The Belmonts","60 Rock N Roll Jukebox-CD 1",00:02:44,track
"C'mon Everybody","Eddie Cochran","Pure Rock & Roll CD 3",00:01:57,track
"Three Steps To Heaven","Eddie Cochran","100 Hits - Classic 60s Disc 5",00:02:22,track
"Twenty Flight Rock","Eddie Cochran","Pure  Rock & Roll CD 1",00:01:46,track
Weekend,"Eddie Cochran","100 Hits Legends Of Rock'n'Roll - Disc 3",00:01:51,track
"Hound Dog","Elvis Presley","Billboard Top Rock'n'Roll Hits 1956",00:02:18,track
"Love Me Tender","Elvis Presley","American Rock 'N' Roll Anthems - CD2",00:02:42,track
"That's All Right","Elvis Presley",Unknown,00:01:56,track
"Good Golly Miss Molly","Gene Vincent & The Shouts","Pure Rock & Roll CD 3",00:02:18,track
"Another Saturday Night","Gene Vincent","Pure Rock & Roll CD 2",00:01:43,track
"Rip It Up","Gene Vincent",Unknown,00:02:43,track
"Milkshake Mademoiselle","Jerry Lee Lewis",Unknown,00:02:07,track
"Sweet Little Sixteen","Jerry Lee Lewis","The very Best of Rock'n Roll C",00:02:56,track
Dimples,"John Lee Hooker",Unknown,00:02:10,track
"Be Bop A Lula","John Lennon",Unknown,00:02:36,track
"Johnny Remember Me","John Leyton","Greatest Hits of The 60's Cd7",00:02:41,track
"Ya Ya","John Lennon",Unknown,00:02:11,track
"Dream Lover","Johnny Burnette","Pure Rock & Roll CD 2",00:02:24,track
"I Walk The Line","Johnny Cash","American Rock 'N' Roll Anthems - CD1",00:02:46,track
"Ring Of Fire","Johnny Cash","The Legend Of",00:02:37,track
"A Thousand Stars","Kathy Young And The Innocents",Unknown,00:03:14,track
"Rock And Roll","Led Zeppelin",Unknown,00:03:39,track
"Heeby Jeebies","Little Richard",Unknown,00:02:11,track
Fever,"Little Willie John",Unknown,00:02:44,track
"Hoochie Coochie Man","Muddy Waters","American Rock 'N' Roll Anthems - CD1",00:02:50,track
"Mannish Boy","Muddy Waters","American Rock 'N' Roll Anthems - CD3",00:02:57,track
"Rollin' Stone","Muddy Waters","American Rock 'N' Roll Anthems - CD2",00:03:06,track
"I Fall To Pieces","Patsy Cline","The Golden Age Of American Rock 'n' Roll: Special Country Edition",00:02:49,track
"Girl Of My Best Friend","Ral Donner",Unknown,00:02:15,track
"You Don't Know What You've Got","Ral Donner",Unknown,00:02:11,track
"Drown In My Own Tears","Ray Charles","The Very Best Of Ray Charles",00:03:20,track
"Whole Lotta Shakin Goin On","Ricky Nelson","Pure  Rock & Roll CD 1",00:02:12,track
"Wonderful World","Sam Cooke","American Rock 'N' Roll Anthems - CD1",00:02:06,track
"Rock Around The Clock","Sex Pistols",Unknown,00:02:05,track
"Five Foot Two Eyes Of Blue","Shane Fenton & The Fentones","Pure Rock & Roll CD 2",00:02:13,track
"Leader Of The Pack",Shangrilas,Unknown,00:02:51,track
"I Got You Babe","Sonny & Cher","Simply The Best Of The 60's CD1",00:03:12,track
"I Love To Boogie","T Rex",Unknown,00:02:10,track
"Rock 'n' Roll Music","The Beatles",Unknown,00:02:30,track
"Only You","The Platters","Billboard Top Rock'n'Roll Hits 1955",00:02:40,track
"Fishnet Stockings","The Stray Cats",Unknown,00:02:21,track
"Ubangi Stomp","The Stray Cats",Unknown,00:03:16,track
Telstar,"The Tornadoes","100 Hits Legends Of Rock'n'Roll - Disc 5",00:03:14,track
"Saturday Night","Country Gentleman","Mindrockers, Vol.12",00:01:52,track
"Saturday Town",Darlings,"Fairytales Can Come True - UK Popsike From The Late 60's",00:01:55,track
"Gonna Hurry (As Slow As I Can)","Dolly Parton","Dolly - Disc 1 of 4",00:01:43,track
"Here You Come Again","Dolly Parton","Dolly (Disc 3)",00:02:53,track
"I Will Always Love You","Dolly Parton",#1983,00:02:55,track
"Save The Last Dance For Me (Recorded 1983)","Dolly Parton","Dolly - Disc 4 of 4",00:03:50,track
"Touch Your Woman","Dolly Parton","Dolly - Disc 2 of 4",00:02:40,track
