artist_raw,track_count,ignore
Harry Chapin,2,false
Harry Katz & The Pistachios,2,false
Heather Newman,2,false
Heatwaves & Freddie Dilevi,2,false
HEFT,2,false
Henry Mancini,2,false
Honeyboy Slim & The Bad Habits,2,false
Hot Midnight Combo,2,false
Hot Sugar Band & Nicolle Rochelle,2,false
Hugo Montenegro,2,false
Hula Ghost,2,false
Iain Matthews & the Salmon Smokers,2,false
Ike & Tina Turner,2,false
Imperial Swing Orchestra,2,false
Inge Augustina,2,false
Insect Surfers,2,false
Ivan БлюZ and Dрузі,2,false
I’m With Her,2,false
Jack Marshall,2,false
Jay & The Americans,2,false
Jay Poisön and the Bat People,2,false
Jeffrey Bützer,2,false
Jeffrey Silverstein,2,false
Jim Steinman,2,false
Jimmy Buffett,2,false
Joan Osborne,2,false
Joan Shelley,2,false
Joe Jackson,2,false
John Coltrane,2,false
John Lee Sanders,2,false
John Lennon,2,false
John Prine,2,false
Johnny Mathis,2,false
Judy Garland,2,false
Kelompok Pasir Hitam,2,false
Ketty Lester,2,false
Kim Lenz,2,false
Kim Lenz & Her Jaguars,2,false
King Beez,2,false
King Crimson,2,false
King Curtis,2,false
King Ghidora,2,false
Kora,2,false
La Vergne Smith,2,false
Las Mucuras,2,false
Last Call at Nightowls,2,false
Lesiman,2,false
Lewis Burner,2,false
Liberace,2,false
Lilly Hiatt,2,false
Liz Simmons,2,false
Longboard Cruise Control,2,false
Los Seisiete,2,false
Los Surfer Compadres,2,false
Louis Armstrong & Ella Fitzgerald,2,false
Louis Jordan,2,false
Louisa Stancioff,2,false
Lucky Bar,2,false
Lulu,2,false
Lydia Lunch,2,false
Lynyrd Skynyrd,2,false
Macelleria Mobile di Mezzanotte,2,false
Mad Sin,2,false
Man or Astro-Man,2,false
Manet,2,false
Manos Wild,2,false
Manu Chao,2,false
Many Mountains,2,false
Margie Joseph,2,false
Marissa Nadler and Milky Burgess,2,false
Mark Lanegan,2,false
Mark Lanegan And The Soulsavers,2,false
Marlene Dietrich,2,false
Marty Cooper Clan,2,false
Mary Chapin Carpenter,2,false
Mary Hopkin,2,false
Matchbox,2,false
Matthews Southern Comfort,2,false
Max Paragraph,2,false
Melissa Carper,2,false
Micah P. Hinson and The Gospel of Progress,2,false
Michael Stipe,2,false
Mike Brookfield,2,false
Millie Jackson,2,false
Miranda Lambert,2,false
Miss Kiddy and the Cads,2,false
Molliemusicable,2,false
Molly Starlite & the Sputniks,2,false
Molly Tuttle & Crooked Tree,2,false
Molly Tuttle & Golden Highway,2,false
Monica Taylor,2,false
Morgan Wade & OurVinyl,2,false
Mr.Black & The 5000 Cadillacs,2,false
Mudslide Charley,2,false
Mutilators,2,false
Naomi Bedford and Paul Simmonds,2,false
Neil Young,2,false
Neko Case,2,false
Nekromantix,2,false
Nick Curran & The Nitelifes,2,false
Nick Drake,2,false
Nick Lemon Band,2,false
Nick Waterhouse,2,false
Nikki Parrott,2,false
Nina Hagen,2,false
Norm & Jean,2,false
Old Wood Tatter,2,false
Otis Redding,2,false
Panty Tsunami,2,false
Patsy Cline,2,false
Paul Mauriat,2,false
Paul Weller,2,false
Perla Batalla,2,false
Peter & the Wolves,2,false
Peter Green,2,false
"Peter, Paul and Mary",2,false
Phil Gammage,2,false
Playboys,2,false
Polecats,2,false
PowerSolo,2,false
