artist_raw,artist_canonical,track_count,monitor_priority,ignore,notes
Kelsey Waldon,Kelsey Waldon,4,low,false,
Kerry Pastine and The Crime Scene,Kerry Pastine and The Crime Scene,4,low,false,
Kim Richey,Kim Richey,4,low,false,
Klingonz,Klingonz,4,low,false,
Lara Luppi & The Vintage Kings,Lara Luppi & The Vintage Kings,4,low,false,
Leon Redbone,Leon Redbone,4,low,false,
Lera Lynn,Lera Lynn,4,low,false,
Les Baxter And His Orchestra,Les Baxter And His Orchestra,4,low,false,
Linda Scott,Linda Scott,4,low,false,
Little Lesley & The Bloodshots,Little Lesley & The Bloodshots,4,low,false,
Lorrie Morgan,Lorrie Morgan,4,low,false,
Los Bitchos,Los Bitchos,4,low,false,
Los Coronas,Los Coronas,4,low,false,
Lunatics,Lunatics,4,low,false,
